Total Conflicts,event_type
308867.0,
,45188.0
,23382.0
,17933.0
,12468.0
,12242.0
,12171.0
,10990.0
,9983.0
,9653.0
,8913.0
,8593.0
,7959.0
,7906.0
,5941.0
,5666.0
,5122.0
,4573.0
,4412.0
,4380.0
,4129.0
,4111.0
,3290.0
,3279.0
,3266.0
,3236.0
,3183.0
,2859.0
,2815.0
,2686.0
,2652.0
,2430.0
,2421.0
,1866.0
,1863.0
,1698.0
,1697.0
,1689.0
,1629.0
,1502.0
,1444.0
,1420.0
,1412.0
,1407.0
,1266.0
,1126.0
,1035.0
,1026.0
,1000.0
,920.0
,877.0
,855.0
,801.0
,791.0
,747.0
,737.0
,716.0
,713.0
,669.0
,641.0
,637.0
,635.0
,626.0
,540.0
,522.0
,508.0
,500.0
,495.0
,475.0
,425.0
,424.0
,398.0
,395.0
,392.0
,376.0
,362.0
,356.0
,348.0
,342.0
,322.0
,303.0
,298.0
,286.0
,285.0
,282.0
,277.0
,273.0
,269.0
,268.0
,263.0
,254.0
,241.0
,231.0
,229.0
,222.0
,214.0
,213.0
,212.0
,207.0
,205.0
,192.0
,191.0
,174.0
,163.0
,160.0
,155.0
,148.0
,148.0
,147.0
,147.0
,145.0
,144.0
,128.0
,127.0
,123.0
,122.0
,113.0
,113.0
,112.0
,110.0
,110.0
,110.0
,107.0
,106.0
,95.0
,89.0
,87.0
,82.0
,80.0
,80.0
,79.0
,79.0
,79.0
,75.0
,68.0
,66.0
,64.0
,64.0
,59.0
,59.0
,54.0
,52.0
,47.0
,47.0
,46.0
,46.0
,42.0
,39.0
,35.0
,32.0
,30.0
,27.0
,25.0
,24.0
,24.0
,24.0
,22.0
,20.0
,14.0
,14.0
,13.0
,13.0
,13.0
,11.0
,11.0
,10.0
,10.0
,9.0
,8.0
,8.0
,8.0
,7.0
,6.0
,5.0
,5.0
,5.0
,5.0
,5.0
,4.0
,4.0
,4.0
,4.0
,4.0
,3.0
,3.0
,3.0
,3.0
,2.0
,2.0
,2.0
,2.0
,2.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
